"<a href=""https://docs.flare.network/tech/glossary/#attestation"">Attestation</a> (Flare Glossary)"|"
A data proof provided to the <a href=""https://docs.flare.network/tech/glossary/#state_connector"">State Connector</a> by a decentralized set of Attestation Providers that confirms the validity or otherwise of any request.
"
"<a href=""https://docs.flare.network/tech/glossary/#autoclaiming"">Autoclaiming</a> (Flare Glossary)"|"
Automatic claiming enables users to appoint an <a href=""https://docs.flare.network/tech/glossary/#executor"">executor</a> to claim rewards on their behalf. <a href=""https://docs.flare.network/tech/automatic-claiming.md"">Read more...</a>
"
"<a href=""https://docs.flare.network/tech/glossary/#avalanche"">Avalanche</a> (Flare Glossary)"|"
An open-source blockchain using the Snow family of consensus protocols and <a href=""https://docs.flare.network/tech/glossary/#proof_of_stake"">Proof of Stake</a> for <a href=""https://docs.flare.network/tech/glossary/#sybil_resistance"">Sybil resistance</a>. It is advertised as the fastest smart contract platform. <a href=""https://docs.avax.network/"">Read more...</a>
"
"<a href=""https://docs.flare.network/tech/glossary/#block"">Block</a> (Flare Glossary)"|"
For performance reasons, <a href=""https://docs.flare.network/tech/glossary/#blockchain"">blockchains</a> do not process transactions one by one. Instead, transactions are grouped together in blocks which are then validated by the <a href=""https://docs.flare.network/tech/glossary/#consensus"">consensus</a> algorithm.
"
"<a href=""https://docs.flare.network/tech/glossary/#block_explorer"">Block Explorer</a> (Flare Glossary)"|"
A tool that enables its users to analyze transactions and interact with addresses on blockchains. <a href=""https://docs.flare.network/user/block-explorers/"">Read more...</a>
"
"<a href=""https://docs.flare.network/tech/glossary/#blockchain"">Blockchain</a> (Flare Glossary)"|"
Digital <a href=""https://docs.flare.network/tech/glossary/#ledger"">ledger</a> storing data and transactions on a distributed network of computers to make it more robust. Cryptography protects against information tampering, and a <a href=""https://docs.flare.network/tech/glossary/#consensus"">consensus</a> algorithm ensures that the majority of the network agrees on the stored data even if some of its nodes act maliciously.
"
"<a href=""https://docs.flare.network/tech/glossary/#bootstrapping_node"">Bootstrapping Node</a> (Flare Glossary)"|"
An observation node associated with a <a href=""https://docs.flare.network/tech/glossary/#validator"">validator node</a> and acting as its bastion: the bootstrapping node exposes a minimum RPC interface, so the validator does not have to. The nodeID and nodeIP returned by the bootstrapping node's RPC allow an external node to connect and peer with the core network of validators. The bootstrapping node also <a href=""https://en.wikipedia.org/wiki/Gossip_protocol"">gossips</a> the core network's validators nodeIDs and nodeIPs to the external node to peer to. The main purpose of a bootstrapping node is to allow new nodes to connect to the network (hence the name ""bootstrapping"") while reducing its associated validator node attack surface. <a href=""https://docs.flare.network/dev/reference/network-config/#flare-networks"">Flare offers some public bootstrapping nodes</a>.
"
"<a href=""https://docs.flare.network/tech/glossary/#byzantine_fault_tolerance"">Byzantine Fault Tolerance</a> (Flare Glossary)"|"
Property of a distributed system that is capable of continuous operation even when some of its participants are unreliable. Participants acting against the interest of the whole system, by accident or on purpose, are said to have “gone Byzantine”.
"
"<a href=""https://docs.flare.network/tech/glossary/#canary_network"">Canary Network</a> (Flare Glossary)"|"
A network used for testing features under “real fire” conditions, before deploying them on the <a href=""https://docs.flare.network/tech/glossary/#main_network"">main network</a>. All users of the canary network are real users, but they are aware of the experimental nature of the platform. The name comes from the time when actual miners used actual canaries to detect the presence of poisonous gas in the mines. Flare's canary network is called <a href=""https://docs.flare.network/tech/glossary/#songbird"">Songbird</a>.
"
"<a href=""https://docs.flare.network/tech/glossary/#consensus"">Consensus</a> (Flare Glossary)"|"
Algorithm that makes nodes on a blockchain’s network agree on the validity of a given transaction, even if some of the nodes provide invalid transactions or try to disrupt the network (<a href=""https://docs.flare.network/tech/glossary/#byzantine_fault_tolerance"">Byzantine Fault Tolerance</a>).
"
"<a href=""https://docs.flare.network/tech/glossary/#coston"">Coston</a> (Flare Glossary)"|"
The name given to both of Flare's public <a href=""https://docs.flare.network/tech/glossary/#test_network"">test networks</a> (Coston and Coston2), in remembrance and celebration of a great inventor, <a href=""https://en.wikipedia.org/wiki/Martha_Coston"">Martha J. Coston</a> (1826-1904).
"
"<a href=""https://docs.flare.network/tech/glossary/#cross_chain"">Cross-chain (or inter-ecosystem) interoperability</a> (Flare Glossary)"|"
Communication between two or more disparate blockchain ecosystems that are technologically incompatible due to the lack of shared systems, protocols or code (e.g. Ethereum and Solana).
"
"<a href=""https://docs.flare.network/tech/glossary/#dao"">DAO</a> (Flare Glossary)"|"
A Decentralized Autonomous Organization is an entity with no central authority. Its governance is mandated by rules encoded on a blockchain so it is tamper-proof.
"
"<a href=""https://docs.flare.network/tech/glossary/#dapp"">Dapp</a> (Flare Glossary)"|"
A Decentralized Application is a computer program that makes use of blockchain technology and therefore the information it uses or stores has the same benefits (trustlessness, censorship resistance, geographical redundancy, etc). The dapp itself may or may not be hosted on a blockchain.
"
